Token	Lexema
ERROR_LEXICO	La
IDENTIFICADOR	persona
IDENTIFICADOR	tiene
IDENTIFICADOR	un
IDENTIFICADOR	auto
ERROR_LEXICO	azul,
IDENTIFICADOR	pero
IDENTIFICADOR	la
IDENTIFICADOR	otra
IDENTIFICADOR	perssona
IDENTIFICADOR	no
IDENTIFICADOR	lo
ERROR_LEXICO	vio.
ERROR_LEXICO	El
IDENTIFICADOR	hombre
IDENTIFICADOR	puede
IDENTIFICADOR	hacer
IDENTIFICADOR	muchas
ERROR_LEXICO	cosas;
IDENTIFICADOR	sin
ERROR_LEXICO	embargo,
IDENTIFICADOR	oy
IDENTIFICADOR	queiere
IDENTIFICADOR	ir
IDENTIFICADOR	a
IDENTIFICADOR	la
IDENTIFICADOR	cassa
ERROR_LEXICO	5.
